path[POSIX]	size[bytes]	checksum[md5]	url
ExFuData/CORSI/CORSI_Info.txt	536	d5e42e9a70ed8e29343bd5c1807d7274	
ExFuData/CORSI/CORSI_results.csv	2793	424c14c2a521d8e0d1c6df3d8e275a29	
ExFuData/INHIB/INHIB_Info.txt	587	6e130b373272f14f901500242a92a678	
ExFuData/INHIB/INHIB_results.csv	4707	945c8aa0a765c42d2db0fc1d53dbe4f8	
ExFuData/MACK/MACK_Info.txt	1046	42bb5802a985147ad73cb1a1402319ca	
ExFuData/MACK/MACK_results.csv	2032	f3487f354c7eb21757a2276637fdbcde	
ExFuData/NBN/NBN_Info.txt	528	6f0d11867bad4b3d52193c4c864a2438	
ExFuData/NBN/NBN_results.csv	4139	01f247c29cdbc190a0590132a3483871	
ExFuData/NVLT/NVLT_Info.txt	600	05c69222ee71443d725d243d703483f6	
ExFuData/NVLT/NVLT_results.csv	3181	4fd557f9343091d2213f4a450d056ec3	
ExFuData/SIMON/SIMON_Info.txt	1059	b18f83829245ac663af865e2297365b9	
ExFuData/SIMON/SIMON_results.csv	1965	f2a946200ed8ea2fcc3b492bee8ec479	
ExFuData/SPM/SPM_Info.txt	479	711fbea2e76a8476f01365d35840ad83	
ExFuData/SPM/SPM_results.csv	2390	439d588196c45923852a2e3dc3599491	
ExFuData/STROOP/STROOP_Info.txt	1025	96d1cabfdef537a1352e1d56a389a090	
ExFuData/STROOP/STROOP_results.csv	5943	2419997db26fd415fead7bfc653a45be	
ExFuData/SWITCH/SWITCH_Info.txt	1229	ada28beca4de12ccffda5cb065746dbc	
ExFuData/SWITCH/SWITCH_results.csv	4551	04aa24a851f6b26ec36ea901281d7951	
ExFuData/TMT/TMT_Info.txt	722	f78f4c701dd556fcef36bebc61916de2	
ExFuData/TMT/TMT_results.csv	5219	18ef7c06f691723ca542c061d661eb4b	
ExFuData/TOL/TOL_Info.txt	610	622c69da5625a95b77b29dc4c91ffe38	
ExFuData/TOL/TOL_results.csv	3327	8bb1a0a00cc9f5dd25c19401fc051a09	
ExFuData/WAFG/WAFG_Info.txt	774	e24082d1fb074eb52134a59c77d52d58	
ExFuData/WAFG/WAFG_results.csv	3797	594b29a42aa192bd8e679f102105434e	
ExFuData/WAFR/WAFR_Info.txt	877	ac488a4b3ac7587f2e5b7ccd936c4e8a	
ExFuData/WAFR/WAFR_results.csv	5291	3e1505d6d5db493673d59e5e271b71e8	
ExFuData/WCST/WCST_Info.txt	1024	cb9960b7fc7bb645338481465de5f1dd	
ExFuData/WCST/WCST_results.csv	2716	40c7ed736e768cde19d6fffffb23b9c7	
HormonesData/HormonesResults.csv	3971	c6c4062e00264d0d422e2e2d95cd9404	
HormonesData/Hormones_Data_Info.txt	723	1cc1b888a0a73970b3711599d533686e	
Publications/Amunts_et_al_2020.pdf	1718256	0e05942576cfc0aa7381055fd3c2d6c7	
Publications/Amunts_et_al_2021.pdf	1014362	4324bb82e29cf97b58f13bc9c78846b1	
Questionnaires/BDI/BDI_II_Info.txt	823	5537ad6c9caacf454b5128b03570fb34	
Questionnaires/BDI/BDI_results.csv	8043	72d7520d08c0fe1c3ab85de9381a476a	
Questionnaires/NEO/BDI_results.csv	8043	72d7520d08c0fe1c3ab85de9381a476a	
Questionnaires/NEO/NEO_FFI_Info.txt	621	417c4f6ba4d4663606725224ea7be72a	
Questionnaires/Participants_general/GENERAL.csv	6423	2b9f7b37ffcf5cf3eb7aabe390585f8d	
Questionnaires/Participants_general/General_Data_Info.txt	1704	43dced1431b42e21d460983648c9bb5e	
SPEX_Info.txt	2211	6f0aee26ba8660b6cf5930986786b743	
SpeechData/PictureDescription_Info.txt	503	dc5bccf87fda0652089ee861a3351c89	
SpeechData/Spontaneous_Speech_Info.txt	798	1e06f4ed72057f5c1f49fd7eb7727e4e	
SpeechData/VerbalFluency_Info.txt	1851	8ebae3014c2dc70216a2b7bf98d84ae1	
SpeechData/WordInterference_Info.txt	1192	06b823fab35155daff71ae20554dcaba	
SpeechData/WordInterference_Wordlist.csv	87296	bd076de069759d6152830de83d2ee4d9	
SpeechData/Word_interference_list_020118.csv	2381	d0eb5a3b5bcb011b4b50d7ceebe6730e	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-001-20180209142140.wav	705644	4c2185c2c02d8942b7cb332eec032d4c	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-002-20180209142143.wav	705644	11fc1c4519aaaa15b805f3223f563b9a	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-003-20180209142147.wav	705644	3346efee100c31b4f834eb025c69732d	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-004-20180209142150.wav	705644	6483ba16f4fb6d3b94b0163ed3fa2b4b	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-005-20180209142203.wav	705644	23c4dbee72ae57138d84587c00e1920a	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-006-20180209142206.wav	705644	a47d3512b3c4a10cbc4caba0c8a8095f	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-007-20180209142210.wav	705644	47ad941f91a8468cc00b290c947576df	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-008-20180209142213.wav	705644	c18302343ed2dddfe1485ff9ac9a7886	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-009-20180209142217.wav	705644	7db9b3dc71ac13db00947a603651db56	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-010-20180209142220.wav	705644	f408612ee893f51f9eee639a9914162a	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-011-20180209142224.wav	705644	0dc1f9af0842256d69babc975134434e	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-012-20180209142227.wav	705644	9739cb6a851f2ebe7f75b1f8c0b3255c	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-013-20180209142231.wav	705644	0bf78531d7147aa1a3b0ea42aca622f1	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-014-20180209142234.wav	705644	960992e4858d3cfb687233c9ec85a65e	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-015-20180209142238.wav	705644	ebcb6bd76a664d6a17c64b6a754b7c77	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-016-20180209142241.wav	705644	da17fee0f38bbe103e433fd8474fe913	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-017-20180209142245.wav	705644	adc2267a022ea3ca568ca67347675270	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-018-20180209142248.wav	705644	c145391235897e2f4caeaec19cc591ec	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-019-20180209142252.wav	705644	9a1704f0e83003037bb86132454f4bff	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-020-20180209142255.wav	705644	e95c12481d3bbcc0ac4f86419ac8053c	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-021-20180209142259.wav	705644	4abec20a71436b475abbe5bb5771bedc	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-022-20180209142302.wav	705644	01d9bd44a261f6bad21ed6542d5ebbf1	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-023-20180209142306.wav	705644	28222e05e467a26110c2710b4d4c1131	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-024-20180209142310.wav	705644	3e94f30f4317c87dd23245540dc1659d	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-025-20180209142313.wav	705644	e0842d6f8f4086bb71a91e30fef043e2	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-026-20180209142317.wav	705644	e8291d856c41ab165e005a9e80c2c21e	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-027-20180209142320.wav	705644	75e1077311bc65882f6dde46f60e1ecd	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-028-20180209142324.wav	705644	25f5026647117459a026439932c54fcf	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-029-20180209142327.wav	705644	6c388f650adadba4626ac1704bf98587	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-030-20180209142331.wav	705644	0751468fc80228c588088e4d23739a60	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-031-20180209142334.wav	705644	ac1f60028af32a977f43f5d6d04283b4	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-032-20180209142338.wav	705644	45442b408f238bd6245e61bafb346953	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-033-20180209142341.wav	705644	b3bb27eda82cd82869448509607fe747	
SpeechData/s_002/interference/s_002-interference_010117_sound_recording-034-20180209142345.wav	705644	654b9d34f33fbe6d47d8d82017f676de	
